lab,address,pincode,city,state,type,,Lat,Long
"All India Institute of Medical Sciences (AIIMS), Nagpur","All India Institute of Medical Sciences (AIIMS), Plot No. 2, Sector - 20, MIHAN, Nagpur 441108 Maharashtra",441108,Nagpur,Maharashtra,Government Laboratory,,20.94521523,79.07203674
"Nagpur Veterinary College, Nagpur","Department of Veterinary Public Health & Epidemiology, Nagpur Veterinary College. Seminary Hills, Nagpur 440006, Maharashtra",440006,Nagpur,Maharashtra,Government Laboratory,,21.16743279,79.0652771
"Advanced Centre for Treatment, Research and Education in Cancer (ACTREC), Tata Memorial Centre, Navi Mumbai","Advanced Centre for Treatment, Research and Education in Cancer (ACTREC), Tata Memorial Centre, Kharghar, Navi Mumbai - 410210, INDIA.",410210,Navi Mumbai,Maharashtra,Government Laboratory,,19.04610825,73.06758118
"Govt. Medical College, Akola","Govt. Medical College, Ashok Vatika, District Collector Office Road, Near, Bhandaraj BK, Akola, Maharashtra 444001, India",444001,Mumbai,Maharashtra,Government Laboratory,,10.89733124,-72.88657379
"National Centre for Cell Science (NCCS), Pune","National Centre for Cell Science, NCCS Complex, Savitribai Phule Pune University Campus, Ganeshkhind Road, Pune - 411007, Maharashtra State, India",411007,Pune,Maharashtra,Government Laboratory,,18.55371094,73.81451416
"ICMR-National Institute for Research in Reproductive Health, Mumbai","ICMR-National Institute for Research in Reproductive Health, Jehangir Merwanji Street, Parel, Mumbai 400012, Maharashtra, India",400012,Mumbai,Maharashtra,Government Laboratory,,19.00188828,72.83994293
"Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital, Thane","Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital, Thane - Belapur Rd, Kalwa West, Budhaji Nagar, Kalwa, Thane, Maharashtra 400605",400605,Thane,Maharashtra,Government Laboratory,,19.20355988,73.00643158
"Thyrocare Technologies Limited, Navi Mumbai","Thyrocare Technologies Limited, D-37/1 MIDC Turbhe Opp Sandoz, MIDC Industrial Area, Sanpada, Navi Mumbai, Maharashtra 400703",400703,Navi Mumbai,Maharashtra,Private Laboratory,,19.07659149,73.00891876
"Suburban Diagnostics (India) Pvt. Ltd., Mumbai","Suburban Diagnostics (India) Pvt. Ltd., 2nd Floor Aston, Shastri Nagar, Andheri (W), Mumbai, Maharashtra, India 400053",400053,Mumbai,Maharashtra,Private Laboratory,,19.1386013,72.82659149
"Metropolis Healthcare Ltd, Mumbai","Metropolis Healthcare Ltd, 4th Floor, Commerical Building 1-A, Kohinoor City Mall, Off LBS Marg, Vidyavihar (West), Mumbai, Maharashtra 400070",400070,Mumbai,Maharashtra,Private Laboratory,,19.07665825,72.88005829
"Sir H. N. Reliance Foundation Hospital and Research Center, Mumbai","Sir H.N. Reliance Foundation Hospital and Research Center, Reliance Life Sciences Pvt Ltd, MIDC, R-282, Thane - Belapur Rd, T.T.C. Industrial Area, Rabale, Navi Mumbai, Maharashtra 400701",400701,Navi Mumbai,Maharashtra,Private Laboratory,,19.12167358,73.00975037
"SRL Diagnostics, Goregaon West","SRL Diagnostics, Plot No 1, Prime Square building, Gaiwadi Industrial, estate, Next to Patel Petrol Pump, Opposite Mahesh Nagar, S.V. Road, Goregaon West, Mumbai, Maharashtra 400062",400062,Mumbai,Maharashtra,Private Laboratory,,19.16157913,72.84428406
"A.G Diagnostics Pvt Ltd, Pune","A.G Diagnostics Pvt Ltd, CTS No 809, F.P. 147, Nayantara Building, Bhandarkar Road, Pune, Maharashtra 411004",411004,Mumbai,Maharashtra,Private Laboratory,,18.51118851,73.83554077
"Kokilaben Dhirubhai Ambani Hospital Laboratory, Mumbai","Kokilaben Dhirubhai Ambani Hospital Laboratory, Four Bungalows, Andheri (West), Mumbai, Maharashtra, India",400053,Mumbai,Maharashtra,Private Laboratory,,19.1386013,72.82659149
"InfeXn Laboratories Private Ltd, Thane","InfeXn Laboratories Private Ltd, A/131, Therelek Compound, Road Number 23, Wagle Industrial Estate, Thane West, Thane, Maharashtra 400604",400604,Thane,Maharashtra,Private Laboratory,,19.2002449,72.9526825
"iGenetic Diagnostics Pvt. Ltd., Mumbai","iGenetic Diagnostics Pvt. Ltd., 1st Floor, krislon House, Off Marol Military Road, Andheri East, Mumbai Maharashtra 400072",400072,Mumbai,Maharashtra,Private Laboratory,,19.12395287,72.89176941
"Tata Memorial Centre Diagnostic Services, Tata Memorial Hospital, Mumbai","Tata Memorial Centre Diagnostic Services, Tata Memorial Hospital, Dept. of Microbiology & Serology, 6th Floor, Anexe Building, Tata Memorial Hospital, Dr. E. Borges Road, Parel, Mumbai 400012",400012,Mumbai,Maharashtra,Private Laboratory,,19.00188828,72.83994293
"Sahyadri Speciality Labs, Pune","Sahyadri Speciality Labs, Plot No. 54, S.No. 80-90, Lokmanya Colony, Kothrud, Pune-411038, Maharashtra, India",411038,Pune,Maharashtra,Private Laboratory,,18.51118469,73.80766296
"Dr. Jariwala Laboratory & Diagnostics LLP, Mumbai","Dr. Jariwala Laboratory & Diagnostics LLP, 1st Floor, Rasraj Heights, Rokadia Lane, Near Gokul Hotel Off,Mandpeshwar Road, Borivli (W), Mumbai-400092, Maharashtra",400092,Mumbai,Maharashtra,Private Laboratory,,19.22585297,72.84979248
"Metropolis Healthcare Limited, Pune","Construction House, Ground Floor, First Floor & Second Floor, 796/189-B, Bhandarkar Institute Road, Pune – 411004, Maharashtra, India",411004,Pune,Maharashtra,Private Laboratory,,18.51118851,73.83554077
"Ruby Hall Clinic, Department of Laboratory, Grant Medical Foundation, Pune","Ruby Hall Clinic, Department of Laboratory, Grant Medical Foundation, 40, Sassoon Road, Pune – 411001, Maharashtra, India",411001,Pune,Maharashtra,Private Laboratory,,18.5194149,73.89211273
"Qualilife Diagnostics, Mumbai","Qualilife Diagnostics, Balaji Arcade, 1st Floor, 544/A, Above Janata Sahakari Bank, Netaji Subhash Road, Mulud – West, Mumbai-400080",400080,Mumbai,Maharashtra,Private Laboratory,,19.1750164,72.951828
"SRL Diagnostics- Dr. Avinash Phadke (SRL Diagnostics Pvt Ltd), Mumbai","SRL Diagnostics- Dr. Avinash Phadke (SRL Diagnostics Pvt Ltd), Mahalaxmi Engineering Estate, 2nd floor, near k.j.khilnani high school, Mahim West, Mahim, Mumbai, Maharashtra 400016",400016,Mumbai,Maharashtra,Private Laboratory,,19.03759575,72.84222412
"Sunflower Laboratory And Diagnostic Center, Mumbai","Sunflower Laboratory And Diagnostic Center, Keshav Kunj, Marve Road, Malad West, Mumbai, Maharashtra 400064",400064,Mumbai,Maharashtra,Private Laboratory,,19.18576431,72.83763885
"Aditya Birla Memorial Hospital –Laboratory (A Unit of Aditya Birla Health Services Ltd.), Pune","Aditya Birla Memorial Hospital –Laboratory (A Unit of Aditya Birla Health Services Ltd.), Aditya Birla Hospital Marg, Chinchwad, Pune-411033, Maharashtra, India",411033,Pune,Maharashtra,Private Laboratory,,18.62664795,73.73623657
"Department of Laboratory Medicine – P.D. Hinduja National Hospital & Medical Research Centre, Mumbai","Department of Laboratory Medicine – P.D. Hinduja National Hospital & Medical Research Centre, Veer Savarkar Marg, Mahim (W), Mumbai- 400016, Maharashtra, India",400016,Mumbai,Maharashtra,Private Laboratory,,19.03759575,72.84222412
"All India Institute of Medical Sciences (AIIMS), Bhopal","All India Institute of Medical Sciences (AIIMS), AIIMS Campus Rd, Saket Nagar, Habib Ganj, Bhopal, Madhya Pradesh 462026",462026,Bhopal,Madhya Pradesh,Government Laboratory,,23.16329002,77.53621674
"National Institute for Research in Tribal Health, Jabalpur","National Institute for Research in Tribal Health, Nagpur Road, near NSCB Medical Collage, Dhanvantri Nagar, Shastri Nagar, Jabalpur, Madhya Pradesh 482003",482003,Jabalpur,Madhya Pradesh,Government Laboratory,,23.05028915,79.7353363
"Mahatma Gandhi Memorial Medical College, Indore","MGM Medical College, A.B.Road, Indore, 452001 Indore, Madhya Pradesh",452001,Indore,Madhya Pradesh,Government Laboratory,,22.7085247,75.87823486
"Gandhi Medical College, Bhopal","Gandhi Medical College, Sultania Rd, near Hamidia Hospital, Royal Market, Bhopal, Madhya Pradesh 462001",462001,Bhopal,Madhya Pradesh,Government Laboratory,,23.26375008,77.39061737
"Bhopal Memorial Hospital & Research Centre, Bhopal","Bhopal Memorial Hospital & Research Centre, Raisen Rd, Near Best Price, BMHRC Campus, Karond, Bhopal, Madhya Pradesh 462038",462038,Bhopal,Madhya Pradesh,Government Laboratory,,23.31919479,77.39698792
"Gajra Raja Medical College, Gwalior","Gajra Raja Medical College, Yadav Colony, Lashkar, Gwalior, Madhya Pradesh 474009",474009,Gwalior,Madhya Pradesh,Government Laboratory,,26.19921494,78.16103363
"ICAR-National Institute of High Security Animal Diseases (ICAR-NIHSAD), Bhopal","ICAR-National Institute of High Security Animal Diseases (ICAR-NIHSAD), Anand Nagar, Bhopal- 462022, Madhya Pradesh, India",462022,Bhopal,Madhya Pradesh,Government Laboratory,,23.22558784,77.52778625
"Defence Research & Development Establishment (DRDE), Gwalior","Defence Research & Development Organisation, Jhansi Road, Gwalior-474002, Madhya Pradesh",474002,Gwalior,Madhya Pradesh,Government Laboratory,,26.21962929,78.17964172
"Bundelkhand Government College, Sagar","Bundelkhand Government College, Shivaji Ward, Tili Rd, Sagar, Madhya Pradesh 470001",470001,Sagar,Madhya Pradesh,Government Laboratory,,11.25668526,-74.19581604
"Chirayu Medical College & Hospital, Bhopal","Chirayu Medical College & Hospital, Bhopal Indore Highway Bhainsakhedi, Bairagarh, Bhopal, Madhya Pradesh 462030",462030,Bhopal,Madhya Pradesh,Private Laboratory,,23.35104942,77.27534485
"Jawaharlal Nehru Institute of Medical Sciences, Imphal","Jawaharlal Nehru Institute of Medical Sciences, Porompat, Imphal, Manipur 795004",795004,Imphal,Manipur,Government Laboratory,,24.81926727,93.92900848
"Regional Institute of Medical Sciences, Imphal","Regional Institute of Medical Sciences, Lamphel Road, Lamphelpat, Imphal, Manipur 795004",795004,Imphal,Manipur,Government Laboratory,,24.81926727,93.92900848
"North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences (NEIGRIHMS), Shillong","North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences (NEIGRIHMS), NEIGRIHMS,Mawdiangdiang Shillong-793018, Meghalaya, India",793018,Shillong,Meghalaya,Government Laboratory,,25.59384537,91.94584656
"Zoram Medical College, Aizwal","Zoram Medical College, State Referral Hospital, Falkawn, Aizawl, Mizoram 796005",796005,Aizawl,Mizoram,Government Laboratory,,23.66634178,92.70202637
"ICMR-Regional Medical Research Centre (RMRC), Bhubaneswar","ICMR-Regional Medical Research Centre (RMRC), Chandrasekharpur, Bhubaneswar - 751 023, Odisha",751023,Bhubaneswar,Odisha,Government Laboratory,,20.31457901,85.81359863
"All India Institute of Medical Sciences (AIIMS), Bhubaneswar","All India Institute of Medical Sciences (AIIMS), Sijua, Patrapada, Bhubaneswar, Odisha 751019",751019,Bhubaneswar,Odisha,Government Laboratory,,20.23112679,85.77859497
"SCB Medical College, Cuttack","SCB Medical College, PG Hostel, Cuttack, Odisha 753001",753001,Cuttack,Odisha,Government Laboratory,,20.47534943,85.87706757
"M.K.C.G Medical College, Berhampur","M.K.C.G Medical College, National Highway 59, Berhampur, District - Ganjam, Odisha. Pin: 760 004, India",760004,Berhampur,Odisha,Government Laboratory,,3.468844891,-76.49364471
"Institute of Life Sciences (ILS), Bhubaneswar","Institute of Life Sciences (ILS), NALCO Square, Bhubaneswar 751023, Odisha, India",751023,Bhubaneswar,Odisha,Government Laboratory,,20.31457901,85.81359863
"Ispat General Hospital (IGH), Rourkela","Ispat General Hospital (IGH), Sector 19, Rourkela Steel Plant, Rourkela, 769011, Odisha, India",769011,Rourkela,Odisha,Government Laboratory,,22.19635201,84.89972687
"Department of Laboratory Services Apollo Hospitals, Bhubaneswar","Department of Laboratory Services Apollo Hospitals, Plot no 251, Sainik School Rd, Unit 15, Gajapati Nagar, Bhubaneswar, Odisha 751005",751005,Bhubaneswar,Odisha,Private Laboratory,,20.31074524,85.83404541
"Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER), Puducherry","JIPMER Campus Rd, Gorimedu, Dhanvantari Nagar, Puducherry, 605006",605006,Puducherry,Puducherry,Government Laboratory,,11.95611286,79.80049133
"Government Medical College, Amritsar","Government Medical College, Medical Enclave, Amritsar, Punjab 143001",143001,Amritsar,Punjab,Government Laboratory,,31.64060783,74.88435364
"Government Medical College, Patiala","Government Medical College, Sangrur Rd, New Lal Bagh Colony, Patiala, Punjab 147001",147001,Patiala,Punjab,Government Laboratory,,30.31217575,76.38358307
"Guru Gobind Singh Medical College & Hospital, Faridkot","Guru Gobind Singh Medical College & Hospital, Sadiq Road, Faridkot, Punjab 151203, India",151203,Faridkot,Punjab,Government Laboratory,,30.67411613,74.74028778
"Department of Microbiology, Dayanand Medical College and Hospital, Ludhiana","Department of Microbiology, Dayanand Medical College and Hospital, Civil Lines, Tagore Nagar, Ludhiana, Punjab 141001",141001,Ludhiana,Punjab,Private Laboratory,,30.91563416,75.8219223
"Tuli Diagnostic Centre, Amritsar","Tuli Diagnostic Centre, Majitha Road, Opp. Guru Nanak Dev Hospital, Amritsar-143001, ,Punjab, India",143001,Amritsar,Punjab,Private Laboratory,,31.64060783,74.88435364
"Sawai Man Singh (SMS) Medical College, Jaipur","SMS Medical College, Jawahar Lal Nehru Marg, Gangawal Park, Adarsh Nagar, Jaipur, Rajasthan 302004",302004,Jaipur,Rajasthan,Government Laboratory,,26.88748741,75.82540894
"Dr. Sampurnanand Medical College, Jodhpur","Dr. S.N. Medical College, Residency Road, Near Sriram Excellency Hotel, Sector-D, Shastri Nagar, opposite Petrol Pump, Jodhpur, Rajasthan 342003",342003,Jodhpur,Rajasthan,Government Laboratory,,26.2717495,72.9908905
"Jhalawar Medical College, Jhalawar","Jhalawar Medical College, N.H.-12, Kota Rd, Jhalawar, Rajasthan 326001",326001,Jhalawar,Rajasthan,Government Laboratory,,24.65457916,76.27968597
"RNT Medical College, Udaipur","RNT Medical College, Court Chowk, City's Prime Health Care Area, Udaipur, Rajasthan 313001",313001,Udaipur,Rajasthan,Government Laboratory,,24.55129242,73.71795654
"S.P. Medical College, Bikaner","S.P. Medical College, PBM Hospital, Bikaner, Rajasthan 334001",334001,Bikaner,Rajasthan,Government Laboratory,,28.14254189,73.17221832
"All India Institute of Medical Sciences (AIIMS), Jodhpur","All India Institute of Medical Sciences (AIIMS), Basni Industrial Area, MIA 2nd Phase, Basni, Jodhpur, Rajasthan 342005",342005,Jodhpur,Rajasthan,Government Laboratory,,26.23705673,72.9899292
"JLN Medical College, Ajmer","JLN Medical College, Kala Bagh, Ajmer, Rajasthan 305001",305001,Ajmer,Rajasthan,Government Laboratory,,26.46793175,74.63095093
"Govt. Medical College, Kota","Govt. Medical College, Rangbari Rd, Sector - A, Rangbari, Kota, Rajasthan 324010",324010,Kota,Rajasthan,Government Laboratory,,25.14345169,75.85971069
"Central Laboratory, Mahatma Gandhi University of Medical Sciences & Technology, Jaipur","Central Laboratory, Mahatma Gandhi University of Medical Sciences & Technology, Ricco Industrial Area, Sitapura, Tonk Road, Jaipur, Rajasthan 302022",302022,Jaipur,Rajasthan,Private Laboratory,,26.7703476,75.83222961
"Sir Thutob Namgyal Memorial Hospital (STNM), Gangtok","STNM Hospital, Sungava, Gangtok, Sikkim 737101",737101,Gangtok,Sikkim,Collection Site,,27.34140015,88.62127686
"King Institute of Preventive Medicine and Research, Chennai","King Institute of Preventive Medicine and Research, Chennai",600032,Chennai,Tamil Nadu,Government Laboratory,,13.01508045,80.20866394
"Madras Medical College, Chennai, Tamil Nadu","Madras Medical College, Near Park Town Station, Park Town, Chennai, Tamil Nadu 600003",600003,Chennai,Tamil Nadu,Government Laboratory,,13.08396721,80.27484131
"Government Theni Medical College, Theni","Govt. Theni Medical College, k. villakku, Tamil Nadu 625531",625531,Theni,Tamil Nadu,Government Laboratory,,10.02737999,77.46257019
"Tirunelveli Medical College, Tirunelveli","Tirunelveli Medical College, 3, High Ground Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627011",627011,Tirunelveli,Tamil Nadu,Government Laboratory,,8.640077591,77.77462006
"Government Medical College, Thiruvarur","Government Medical College, Collector office Master Plan Complex, Collector Office Road, Thiruvarur, Tamil Nadu 610004",610004,Thiruvar,Tamil Nadu,Government Laboratory,,10.77485085,79.60427856
"Kumar Mangalam Government Medical College, Salem","Government Mohan Kumaramangalam Medical College, Steel Plant Road Sarkar Kollappatty, Salem, Tamil Nadu 636030",636030,Salem,Tamil Nadu,Government Laboratory,,11.67605019,78.07342529
"Coimbatore Medical College, Coimbatore","Coimbatore Medical College, 1 A, SF No 498, Avinashi Rd, Peelamedu, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641018",641018,Coimbatore,Tamil Nadu,Government Laboratory,,11.00060463,76.9725647
"Government Villupuram Medical College, Villupuram","Government Villupuram Medical College, Mundiyampakkam, Villupuram, Tamil Nadu 605601",605601,Villupuram,Tamil Nadu,Government Laboratory,,11.99077511,79.5184021
"Madurai Medical College, Madurai","Medical College, Medical College Rd, Alwarpuram, Madurai, Tamil Nadu 625020",625020,Madurai,Tamil Nadu,Government Laboratory,,9.906694412,78.22589111
"K.A.P. Viswanatham Government Medical College, Trichy","K.A.P. Viswanatham Government Medical College, Periyamilaguparai, Colletor's office Road, Trichy, Tamil Nadu 620001",620001,Trichy,Tamil Nadu,Government Laboratory,,10.79154015,78.67259216
"IRT Perundurai Medical College, Perundurai","IRT Perundurai Medical College, Perundurai -638053 Erode District TamilNadu, India",638053,Perundurai,Tamil Nadu,Government Laboratory,,11.27109337,77.59897614
"Government Dharmapuri Medical College, Dharmapuri","Government Dharmapuri Medical College, Nethaji byepass Road, Dharmapuri, Tamil Nadu, 636701 India",636701,Dharmapuri,Tamil Nadu,Government Laboratory,,12.12901211,78.13004303
"Government Vellore Medical College, Vellore","Government Vellore Medical College, Sapthalipuram, Pennathur, Adukkamparai, Tamil Nadu 632011",632011,Vellore,Tamil Nadu,Government Laboratory,,12.84531116,79.14295959
"State Public Health Laboratory, Chennai","State Public Health Laboratory, Chokkalingam Nagar, Teynampet, Chennai, Tamil Nadu 600086",600086,Chennai,Tamil Nadu,Government Laboratory,,13.0514946,80.25710297
"ICMR-National Institute of Epidemiology, Chennai","ICMR-National Institute of Epidemiology, Second Main Road, Tamil Nadu Housing Board, Ayapakkam, Near Ambattur, Chennai 600077, Tamil Nadu, India",600077,Chennai,Tamil Nadu,Government Laboratory,,13.07548141,80.12536621
"Kanyakumari Government Medical College, Nagercoil","Kanyakumari Government Medical College, Asaripallam, Nagercoil, Kanyakumari, Tamil Nadu, India-629201",629201,Nagercoil,Tamil Nadu,Government Laboratory,,8.160289764,77.37891388
"Christian Medical College, Vellore","Department of Clinical Virology, Christian Medical College, 9th Floor, ASHA Building, IDA Scudder Road, Christian Medical College, Vellore, Tamil Nadu, India Pin 632004",632004,Vellore,Tamil Nadu,Private Laboratory,,12.92021275,79.12889099
"Apollo Hospitals Enterprise Limited, Chennai","Department of Laboratory Services, Apollo Hospitals Enterprise Limited, 21 Greams Lane, Off Greams Road, Chennai Tamil Nadu Pin 600006",600006,Chennai,Tamil Nadu,Private Laboratory,,13.05873299,80.25463867
"Neuberg Ehrlich Laboratory Pvt Ltd, Chennai","Neuberg Ehrlich Laboratory Pvt Ltd, 46 & 48, Masilamani Road, Balaji Nagar, Royapettah, Chennai - 600 014, Tamil Nadu",600014,Chennai,Tamil Nadu,Private Laboratory,,13.05331707,80.26891327
"Sri Ramachandra Laboratory Services, Chennai","No.1 Ramachandra Nagar, Porur, Chennai - 600116 Tamil Nadu, India",600116,Chennai,Tamil Nadu,Private Laboratory,,13.03670406,80.1546936
"Microbiological Laboratory, Coimbatore","Microbiological laboratory, no-02, kings colony, united nagar, veerakeralam road, vadavalli, Coimbatore, Tamil Nadu, Indi",641002,Coimbatore,Tamil Nadu,Private Laboratory,,11.01150036,76.94976807
"Y. R. Gaitonde Centre for AIDS Research and Education (YRG Care), Chennai","Division of Molecular Biology & Genotyping, YRG CARE Infectious Diseases Laboratory VHS Hospital Campus, Rajiv Gandhi Road, Tharamani, Chennai, Tamil Nadu 600113",600113,Chennai,Tamil Nadu,Private Laboratory,,12.99527836,80.24288177
"K.A.P. Viswanatham Government Medical College, Trichy","K.A.P.Viswanatham Government Medical College, Periyamilaguparai, Colletor's office Road, Trichy, Tamil Nadu 620001",620001,Trichy,Tamil Nadu,Private Laboratory,,10.79154015,78.67259216
"Madras Medical Mission Clinical Laboratory Services, Chennai","Madras Medical Mission Clinical, Laboratory Services, 4-A, Dr. J. Jayalalitha Nagar, Mogappair, Chennai-600037, India",600037,Chennai,Tamil Nadu,Private Laboratory,,13.07752705,80.17797852
"MIOT Hospitals – Department of Laboratory Medicine, Chennai","MIOT Hospitals – Department of Laboratory Medicine, No : 4/112, Mount Poonamallee Road, Manapakkam, Chennai-600089, Tamil Nadu",600089,Chennai,Tamil Nadu,Private Laboratory,,13.02908802,80.18517303
"PSG Hospitals Diagnostic Centre, Coimbatore","PSG Hospitals Diagnostic Centre, Avinashi Rd, Peelamedu, Coimbatore, Tamil Nadu 641004",641004,Coimbatore,Tamil Nadu,Private Laboratory,,11.04229736,77.02270508
"Gandhi Medical College, Secunderabad","Gandhi Medical College, Musheerabad, Padmarao Nagar, Secunderabad, Telangana 500003",500003,Secunderabad,Telangana,Government Laboratory,,17.44135284,78.49165344
"Osmania Medical College, Hyderabad","Osmania Medical College, 5-1-876, Turrebaz Khan Rd, Troop Bazaar, Koti, Hyderabad, Telangana 500095",500095,Hyderabad,Telangana,Government Laboratory,,17.38784409,78.48622131
"Sir Ronald Ross of Tropical & Communicable Diseases, Hyderabad","Sir Ronald Ross of Tropical & Communicable Diseases, (Fever Hospital), CGHS Complex, Old Aiport Road, Motilal Nehru Nagar, Begumpet, Hyderabad, Telangana 500016",500016,Hyderabad,Telangana,Government Laboratory,,17.43699265,78.46405792
"Nizam's Institute Of Medical Sciences, Hyderabad","Punjagutta Rd, Punjagutta Market, Punjagutta, Hyderabad, Telangana 500082",500082,Hyderabad,Telangana,Government Laboratory,,17.42493057,78.45900726
"Institute of Preventive Medicine, Hyderabad","Institute of Preventive Medicine, Narayanaguda, Hyderabad, Telangana 500029",500029,Hyderabad,Telangana,Government Laboratory,,17.40265846,78.48558044
"CSIR - Centre for Cellular and Molecular Biology, Hyderabad","Centre for Cellular and Molecular Biology, Uppal Rd, IICT Colony, Habsiguda, Hyderabad, Telangana 500007",500007,Hyderabad,Telangana,Government Laboratory,,17.41356087,78.53817749
"Centre for DNA Fingerprinting and Diagnostics (CDFD), Hyderabad","Centre for DNA Fingerprinting and Diagnostics (CDFD), Inner Ring Road, Uppal, Hyderabad – 500039, Telangana, India",500039,Hyderabad,Telangana,Government Laboratory,,17.40243721,78.56626129
"Laboratory Services Apollo Hospitals, Hyderabad","Laboratory Services Apollo Hospitals Hyderabad, 6th Floor Health street Building, Jubilee Hills, Hyderabad 500096",500096,Hyderabad,Telangana,Private Laboratory,,17.41274452,78.41620636
"Vijaya Diagnostic Centre Pvt. Ltd, Hyderabad","Vijaya Diagnostic Centre Pvt. Ltd, 3-6-16 & 17, Street No.19, opp. Lane to Tanishq, Chandra Nagar, Himayatnagar, Hyderabad, Telangana 500029",500029,Hyderabad,Telangana,Private Laboratory,,17.40265846,78.48558044
"Vimta Labs Ltd., Hyderabad","Vimta Labs Ltd., Plot No. 142, Phase 2, IDA Cherlapally, Hyderabad, Telangana, India 500051",500051,Hyderabad,Telangana,Private Laboratory,,17.46420479,78.59114075
"Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, Hyderabad","Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, NOS, 140/A, 140/B, 140/C, 141/A, 141/B, 141/C, Thokatta Village, Bowenpally, Secunderabad, Telangana, Hyderabad-500011",500011,Hyderabad,Telangana,Private Laboratory,,17.46389008,78.47280884
"Dr. Remedies labs Private Limited , Hyderabad","Dr. Remedies labs Private Limited , Titus Plaza, 1st Floor, Sharma Commercial Complex, Hyderabad, Telangana 500082",500082,Hyderabad,Telangana,Private Laboratory,,17.42493057,78.45900726
"PATHCARE Labs Pvt. Ltd., Hyderabad","PATHCARE Labs Pvt. Ltd., Sy. #34, Opp: Geethanjali Engineering College, Cheeryal (V), Keesara (M), Greater Hyderabad, Telangana 501301",501301,Hyderabad,Telangana,Private Laboratory,,17.42204094,78.72854614
"AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Hyderabad","AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Door No. 1-100/CCH, Second Floor, At Citizens Hospital, Nallagandla, Serilingampally, Hyderabad, Telangana 500019",500019,Hyderabad,Telangana,Private Laboratory,,17.48687744,78.30953979
"Medcis Pathlabs India Pvt.Ltd., Secunderabad","Medcis Pathlabs India Pvt.Ltd., Plot 16 & 17, Swathi Plaza, Bhavani Enclave, Anand Nagar, New Bowenpally, near Asish Gardens, Hyderabad, Telangana 500011",500011,Hyderabad,Telangana,Private Laboratory,,17.46389008,78.47280884
"The Department of Laboratory Medicine, Yashoda Hospital, Secunderabad","The Department of Laboratory Medicine, Yashoda Hospital, 9th Floor, 1-1-156 & 157, Alexander Road, S. P. Road, Secunderabad, Telangana 500003",500003,Secunderabad,Telangana,Private Laboratory,,17.44135284,78.49165344
"Biognosys Technologies (India) Private Limited, Hyderabad","Biognosys Technologies (India) Private Limited, # 8 - 148/174/11, NRI Colony, ALEAP Industrial Area, Medchal, Malkajgiri, Hyderabad, Telangana 500090, India",500090,Hyderabad,Telangana,Private Laboratory,,17.5386734,78.38309479
"Department of Laboratory Medicine, Star Hospitals, A Unit of UNIMED Healthcare Pvt Ltd, Hyderabad","Department of Laboratory Medicine, Star Hospitals, A Unit of UNIMED Healthcare Pvt Ltd. # 8-2-594/B, Road No. 10, Banjara Hills, Hyderabad- 500034, Telangana",500034,Hyderabad,Telangana,Private Laboratory,,17.41717339,78.4388504
"Tenet Diagnostics (A Unit of Center for Excellence in Medical Services Private Limited), Hyderabad","Tenet Diagnostics (A Unit of Center for Excellence in Medical Services Private Limited), Plot No 51, Kineta Towers, Journalist Colony, Road No 3, Banjara Hills, Hyderabad, Telangana 500034",500034,Hyderabad,Telangana,Private Laboratory,,17.41717339,78.4388504
"Government Medical College, Agartala","Government Medical College, 79 Tilla, Agartala, Tripura 799006",799006,Agartala,Tripura,Government Laboratory,,23.85787582,91.28472137
"King George's Medical University, Lucknow","King George's Medical University, Shah Mina Rd, Chowk, Lucknow, Uttar Pradesh 226003",226003,Lucknow,Uttar Pradesh,Government Laboratory,,26.87379074,80.88380432
"Institute of Medical Sciences, BHU, Varanasi","Institute of Medical Sciences, BHU, Aurobindo Colony, Banaras Hindu University Campus, Varanasi, Uttar Pradesh 221005",221005,Varanasi,Uttar Pradesh,Government Laboratory,,25.27246284,82.99128723
"Jawaharlal Nehru Medical College, Aligarh","Jawaharlal Nehru Medical College, Medical Rd, AMU Campus, Aligarh, Uttar Pradesh 202002",202002,Aligarh,Uttar Pradesh,Government Laboratory,,27.87350464,78.0139389
"Command Hospital, Lucknow","Command Hospital, Lucknow, Uttar Pradesh 226002",226002,Lucknow,Uttar Pradesh,Government Laboratory,,26.80550194,80.96524048
"Lala Lajpat Rai Memorial Medical College, Meerut","Lala Lajpat Rai Memorial Medical College, Garh Road, Jai Bhim Nagar, Meerut, Uttar Pradesh 250002",250002,Meerut,Uttar Pradesh,Government Laboratory,,28.95346069,77.70453644
